State,District,Market,Commodity,Variety,Arrival_Date,Min Price,Max Price,Modal Price
Chattisgarh,Durg,Durg,Pomegranate,Pomogranate,03/09/2022,13000,15000,14000
Chattisgarh,Durg,Durg,Potato,Potato,03/09/2022,2000,2400,2200
Chattisgarh,Durg,Durg,Pumpkin,Pumpkin,03/09/2022,1600,1700,1650
Chattisgarh,Durg,Durg,Raddish,Raddish,03/09/2022,1500,1600,1550
Chattisgarh,Durg,Durg,Tinda,Tinda,03/09/2022,2600,2800,2700
Chattisgarh,Durg,Durg,Tomato,Tomato,03/09/2022,4200,4600,4400
Chattisgarh,Janjgir,Champa,Wheat,Other,03/09/2022,2000,2000,2000
Chattisgarh,Kabirdham,Kawardha,Bengal Gram(Gram)(Whole),Kanta,03/09/2022,4000,4681,4520
Chattisgarh,Kabirdham,Kawardha,Kodo Millet(Varagu),Other,03/09/2022,2870,2870,2870
Chattisgarh,Kabirdham,Kawardha,Paddy(Dhan)(Common),Swarna Masuri (New),03/09/2022,1899,1899,1899
Chattisgarh,Kabirdham,Kawardha,Soyabean,Yellow,03/09/2022,4698,4698,4698
Chattisgarh,Kabirdham,Kawardha,Wheat,Deshi,03/09/2022,2290,2325,2325
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,03/09/2022,1400,1400,1400
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,03/09/2022,1400,1400,1400
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,03/09/2022,1400,1400,1400
Chattisgarh,Mahasamund,Bagbahra,Paddy(Dhan)(Common),MTU-1010,03/09/2022,1980,2000,1990
Chattisgarh,Mahasamund,Basana,Paddy(Dhan)(Common),MTU-1001,03/09/2022,1480,1500,1490
Chattisgarh,Mahasamund,Komakhan,Paddy(Dhan)(Common),MTU-1010,03/09/2022,1975,1980,1980
Chattisgarh,Narayanpur,Narayanpur,Millets,Other,03/09/2022,3500,4000,3800
Chattisgarh,Raigarh,Raigarh,Onion,Other,03/09/2022,1800,2000,2000
Chattisgarh,Raigarh,Raigarh,Potato,Other,03/09/2022,1800,2000,2000
Chattisgarh,Raigarh,Raigarh,Tomato,Other,03/09/2022,2500,3000,3000
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),I.R.-64,03/09/2022,1860,1860,1860
Chattisgarh,Raipur,Arang,Paddy(Dhan)(Common),Paddy Medium,03/09/2022,1497,1500,1499
